sentence
El gato duerme.
La niña corre.
El perro ladra.
Hace mucho calor.
Llueve afuera.
El vaso está lleno.
La casa es grande.
El pan está caliente.
Hay una flor.
La cama es cómoda.
El sol brilla.
La luna aparece.
Hay una nube.
El pájaro canta.
La puerta está abierta.
La ventana se cierra.
El niño ríe.
La mujer cocina.
El hombre trabaja.
El pez nada.
La silla está rota.
La comida huele bien.
El coche arranca.
La leche hierve.
El árbol crece.
El viento sopla.
Hay polvo aquí.
La luz se apaga.
El reloj suena.
La calle está vacía.
La caja pesa mucho.
El suelo está mojado.
La sopa quema.
El aire es frío.
El libro está viejo.
La radio suena.
La lluvia cae.
El niño estudia.
La mujer canta.
El perro muerde.
La silla cruje.
El plato está limpio.
El hielo se derrite.
Hay un insecto.
La flor huele bien.
El lápiz escribe.
El papel se rompe.
La piedra pesa.
El grifo gotea.
La bolsa está llena.
El huevo se rompe.
El suelo está frío.
La mesa tiembla.
El cuchillo corta.
El fuego arde.
La ventana vibra.
El techo cae.
La bicicleta rueda.
La toalla moja.
La uva es dulce.
El río corre.
La abeja zumba.
El agua hierve.
La fruta madura.
El tomate cae.
La hoja vuela.
El jabón espuma.
La nube cubre.
La ola rompe.
La lana abriga.
El vidrio brilla.
La hierba crece.
El tren pasa.
La sal disuelve.
El ratón corre.
La cuerda tira.
El tenedor pincha.
La cuchara pesa.
El pez salta.
La brisa acaricia.
El camino gira.
La rama cruje.
El bosque suena.
La tela cubre.
El suelo vibra.
La naranja mancha.
El barro ensucia.
La piedra rueda.
El charco refleja.
La miel endulza.
El faro alumbra.
La arena arde.
El canto alegra.
La miel gotea.
El puente cruza.
La espuma sube.
El viento silba.
La caja guarda.
El saco pesa.
La gota cae.
